source;date;titre;lien;categorie
01net;17/09/2026 10:00;Mozilla choisit Mistral : l’IA française s’installe au cœur de Firefox;https://www.01net.com/actualites/mozilla-choisit-mistral-lia-francaise-sinstalle-au-coeur-de-firefox.html;LOGICIELS_OS
Frandroid;17/09/2026 09:58;Comment bien choisir son clavier ? [Sponso];https://www.frandroid.com/produits-android/ordinateurs/peripheriques-pc/clavier/3204209_comment-bien-choisir-son-clavier;PERIPHERIQUE
Frandroid;17/09/2026 09:50;iOS 27.2 : l’application Apple TV gère enfin les profils sur iPhone et iPad;https://www.frandroid.com/marques/apple/3251111_ios-27-2-lapplication-apple-tv-gere-enfin-les-profils-sur-iphone-et-ipad;SMARTPHONE
Phonandroid;17/09/2026 09:49;Le Xiaomi TV Stick HD 2e génération est disponible en France;https://www.phonandroid.com/le-xiaomi-tv-stick-hd-2e-generation-est-disponible-en-france.html;VIDEO
Frandroid;17/09/2026 09:47;Attention, iOS 27 peut bloquer votre iPhone : la solution pour s’en sortir;https://www.frandroid.com/produits-android/3250975_attention-ios-27-peut-bloquer-votre-iphone-la-solution-pour-sen-sortir;SMARTPHONE
Frandroid;17/09/2026 09:45;Panneaux géants et couleurs flashy de GTA 6 : Spotify et Rockstar semblent avoir quelque chose à annoncer;https://www.frandroid.com/services/3250965_panneaux-geants-et-couleurs-flashy-de-gta-6-spotify-et-rockstar-semblent-avoir-quelque-chose-a-annoncer;NON_CLASSE
Frandroid;17/09/2026 09:43;Micron dévoile la première barrette de RAM DDR5 de 512 Go au monde, pensée pour l’IA;https://www.frandroid.com/produits-android/hardware/memoire/3251173_micron-devoile-la-premiere-barrette-de-ram-ddr5-de-512-go-au-monde-pensee-pour-lia;ACTU_ECO
Frandroid;17/09/2026 09:42;« Tu es libéré » : une IA d’OpenAI s’est inventé des consignes pour s’affranchir de son rôle d’assistant;https://www.frandroid.com/culture-tech/3251019_tu-es-libere-une-ia-dopenai-sest-invente-des-consignes-pour-saffranchir-de-son-role-dassistant;IA
Frandroid;17/09/2026 09:36;À bord du Tesla Semi : les secrets du responsable du programme pour augmenter l’autonomie sans toucher à la batterie;https://www.frandroid.com/marques/3250085_a-bord-du-tesla-semi-les-secrets-du-responsable-du-programme-pour-augmenter-lautonomie-sans-toucher-a-la-batterie;VOITURE
01net;17/09/2026 09:32;Samsung veut contrer l’iPhone Duo avec ce smartphone hors norme;https://www.01net.com/actualites/samsung-veut-contrer-liphone-duo-avec-ce-smartphone-hors-norme.html;SMARTPHONE
Frandroid;17/09/2026 09:31;Le TV 65 pouces de LG qui se transforme en tableau perd 500 € pour concurrencer la gamme The Frame de Samsung;https://www.frandroid.com/bons-plans/3250913_le-tv-65-pouces-de-lg-qui-se-transforme-en-tableau-perd-500-e-pour-concurrencer-la-gamme-the-frame-de-samsung;IA
Frandroid;17/09/2026 09:29;Des Maserati électriques conçues avec Huawei : le projet fou pour relancer (ou enterrer) le Trident;https://www.frandroid.com/survoltes/3251003_des-maserati-electriques-concues-avec-huawei-le-projet-fou-pour-relancer-ou-enterrer-le-trident;VOITURE
01net;17/09/2026 09:29;Canal+ lance une nouvelle offre à 13,99 € par mois pour les jeunes;https://www.01net.com/actualites/canal-lance-nouvelle-offre-13-euros-par-mois-pour-les-jeunes.html;VIDEO
Phonandroid;17/09/2026 09:21;Vous n’arrivez plus à suivre ou bloquer quelqu’un sur Spotify ? Vous n’êtes pas seul;https://www.phonandroid.com/vous-narrivez-plus-a-suivre-ou-bloquer-quelquun-sur-spotify-vous-netes-pas-seul.html;NON_CLASSE
Frandroid;17/09/2026 09:20;Puce M8 et technologie Nvidia en sous-main : Apple reviendrait sur le marché des serveurs;https://www.frandroid.com/marques/apple/3250773_puce-m8-et-technologie-nvidia-en-sous-main-apple-reviendrait-sur-le-marche-des-serveurs;SMARTPHONE
01net;17/09/2026 09:19;iOS 27 introduit une protection contre l’usurpation d’identité, voici comment l’activer;https://www.01net.com/astuces/ios-27-introduit-une-protection-contre-lusurpation-didentite-voici-comment-lactiver.html;SMARTPHONE
Frandroid;17/09/2026 09:18;Nintendo Switch 2 : l’édition Zelda fait l’impasse sur la batterie facilement réparable;https://www.frandroid.com/marques/nintendo/3251107_nintendo-switch-2-ledition-zelda-fait-limpasse-sur-la-batterie-facilement-reparable;LUDIQUE
Phonandroid;17/09/2026 09:17;Ni Nvidia ni AMD ne devrait sortir de nouvelles cartes graphiques en 2027, rendez-vous en 2028;https://www.phonandroid.com/ni-nvidia-ni-amd-ne-devrait-sortir-de-nouvelles-cartes-graphiques-en-2027-rendez-vous-en-2028.html;NON_CLASSE
Frandroid;17/09/2026 09:12;BYD dévoile la “voiture électrique à la plus grande autonomie au monde” avec 1 100 km : pourquoi ce n’est pas totalement vrai;https://www.frandroid.com/marques/denza/3250959_byd-devoile-la-voiture-electrique-a-la-plus-grande-autonomie-au-monde-avec-1-100-km-pourquoi-ce-nest-pas-totalement-vrai;VOITURE
Frandroid;17/09/2026 09:02;Monter un PC gaming : nos recommandations de configurations PC gamer pour tous les budgets;https://www.frandroid.com/guide-dachat/1588431_monter-un-pc-gaming-nos-recommandations-de-configurations;PC
01net;17/09/2026 09:00;Crypto : la France neutralise un réseau criminel spécialisé dans le kidnapping et l’extorsion;https://www.01net.com/actualites/crypto-la-france-neutralise-un-reseau-criminel-specialise-dans-le-kidnapping-et-lextorsion.html;SMARTPHONE
Phonandroid;17/09/2026 08:56;Firefox 156 affiche des publicités dans la barre de recherche, comment les désactiver;https://www.phonandroid.com/firefox-156-affiche-des-publicites-dans-la-barre-de-recherche-comment-les-desactiver.html;LOGICIELS_OS
Frandroid;17/09/2026 08:54;Le Shark FlexBreeze HydroGo, ce ventilateur portable brumisateur, chute sous les 100 €;https://www.frandroid.com/bons-plans/3250899_le-shark-flexbreeze-hydrogo-ce-ventilateur-portable-brumisateur-chute-sous-les-100-e;MENAGE
Frandroid;17/09/2026 08:53;Démarchage téléphonique illégal : un opérateur d’Altice France condamné à une amende de 1,1 million d’euros;https://www.frandroid.com/services/operateurs-mobiles/3250905_demarchage-telephonique-illegal-un-operateur-daltice-france-condamne-a-une-amende-de-11-million-deuros;ACTU_JUR_POL
Phonandroid;17/09/2026 08:37;Windows 11 va enfin permettre de vous débarrasser de la touche Copilot de votre clavier (ou presque);https://www.phonandroid.com/windows-11-va-enfin-permettre-de-vous-debarrasser-de-la-touche-copilot-de-votre-clavier-ou-presque.html;PC
Phonandroid;17/09/2026 08:02;Le nouveau télescope de la NASA ouvre les yeux, sa première image risque de vous surprendre;https://www.phonandroid.com/le-nouveau-telescope-de-la-nasa-ouvre-les-yeux-sa-premiere-image-risque-de-vous-surprendre.html;MAISON
01net;17/09/2026 08:00;Smartphones Samsung : à partir du 30 septembre, l’application Galerie va connaitre un changement important;https://www.01net.com/actualites/smartphones-samsung-30-septembre-application-galerie-va-connaitre-changement-important.html;LOGICIELS_OS
Phonandroid;17/09/2026 08:00;Resident Evil de Zach Cregger est l’adaptation de jeu vidéo la mieux notée de tous les temps;https://www.phonandroid.com/resident-evil-de-zach-cregger-est-ladaptation-de-jeu-video-la-mieux-notee-de-tous-les-temps.html;LUDIQUE
Phonandroid;17/09/2026 07:34;Le Meta Quest 3 de 512 Go passe sous les 485 € : plus de 135 € de réduction sur le casque VR;https://www.phonandroid.com/bon-plan-meta-quest-3-512-go-135-e-reduction-casque-vr.html;SMARTPHONE
Phonandroid;17/09/2026 06:58;Le Mac échappe au blocage européen de Siri AI grâce à cette subtilité du DMA;https://www.phonandroid.com/le-mac-echappe-au-blocage-europeen-de-siri-ai-grace-a-cette-subtilite-du-dma.html;IA
01net;17/09/2026 06:45;Six ChatGPT hors de contrôle : OpenAI reconnaît plusieurs nouveaux dérapages « préoccupants »;https://www.01net.com/actualites/six-chatgpt-hors-controle-openai-reconnait-plusieurs-nouveaux-derapages-preoccupants.html;IA
01net;17/09/2026 06:30;WhatsApp pourrait bientôt vous laisser utiliser trois comptes sur votre téléphone;https://www.01net.com/actualites/whatsapp-pourrait-bientot-vous-laisser-utiliser-trois-comptes-sur-votre-telephone.html;SMARTPHONE
Phonandroid;17/09/2026 06:00;Huawei Watch GT 7 : plus de 100 modes sportifs pour tout suivre au quotidien;https://www.phonandroid.com/huawei-watch-gt-7-plus-de-100-modes-sportifs-pour-tout-suivre-au-quotidien.html;MOBILITE_DOUCE
Phonandroid;17/09/2026 05:44;Google TV Streamer : rarement en promo, le successeur du Chromecast passe sous les 90 €;https://www.phonandroid.com/google-tv-streamer-rarement-promo-successeur-aluchromecast-passe-90-e.html;VIDEO
01net;17/09/2026 05:30;Meta préparerait un changement radical pour ses prochaines lunettes connectées;https://www.01net.com/actualites/meta-preparerait-changement-radical-prochaines-lunettes-connectees.html;IA
01net;17/09/2026 05:00;Test Redmi Note 17 Pro 5G : batterie record et sacrifices majeurs sont dans un smartphone, qui tombe à l’eau ?;https://www.01net.com/tests/test-redmi-note-17-pro-5g-smartphones.html;SMARTPHONE
01net;17/09/2026 04:30;13 800 € pour une recharge : cette borne « hors service » donne des sueurs froides à un conducteur;https://www.01net.com/actualites/13-800-euros-recharge-voiture-electrique-finalement-pas-economique.html;VOITURE
Phonandroid;16/09/2026 22:01;Test Redmi Note 17 5G : le roi du compromis (et de l’autonomie) est-il encore la référence du milieu de gamme ?;https://www.phonandroid.com/test-redmi-note-17-5g.html;SMARTPHONE
01net;16/09/2026 18:12;Le Ryzen 7 9800X3D est à un prix FOU : AMD vide son stock de l’automne (-42%) ⚡️;https://www.01net.com/bons-plans/le-ryzen-7-9800x3d-est-a-un-prix-fou-amd-vide-son-stock-de-lautomne-42.html;NON_CLASSE
Phonandroid;16/09/2026 18:03;Ninja lance le CRISPi DualZone, le premier air fryer en verre à double zone;https://www.phonandroid.com/ninja-lance-le-crispi-dualzone-le-premier-air-fryer-en-verre-a-double-zone.html;CUISINE
Phonandroid;16/09/2026 17:27;Un Youtubeur Minecraft de 9 ans dépense 118 000 $ pour faire la publicité de ses vidéos, son père prend le contrôle de la chaîne;https://www.phonandroid.com/un-youtubeur-minecraft-de-9-ans-depense-118-000-pour-faire-la-publicite-de-ses-videos-son-pere-prend-le-controle-de-la-chaine.html;VIDEO
Phonandroid;16/09/2026 16:57;Xiaomi Mix Flip : réduction colossale de plus de 70% sur le smartphone pliant, vite !;https://www.phonandroid.com/xiaomi-mix-flip-reduction-colossale-de-plus-de-70-sur-le-smartphone-pliant-vite.html;SMARTPHONE
01net;16/09/2026 16:05;Garmin a donné son accord : la Forerunner 255 se vend par tonnes à -57%;https://www.01net.com/bons-plans/garmin-a-donne-son-accord-la-forerunner-255-se-vend-par-tonnes-a-quasi-50.html;EXTERIEUR_SANTE_SPORT
01net;16/09/2026 16:01;Facturation électronique : une fuite de données frappe une plateforme comptable en pleine réforme;https://www.01net.com/actualites/facturation-electronique-fuite-donnees-frappe-plateforme-comptable-pleine-reforme.html;ACTU_JUR_POL
01net;16/09/2026 15:41;Galaxy Watch Ultra 2025 : à -56%, la montre connectée premium chute à un prix de rêve;https://www.01net.com/bons-plans/galaxy-watch-ultra-2025-a-56-la-montre-connectee-premium-chute-a-un-prix-de-reve.html;EXTERIEUR_SANTE_SPORT
01net;16/09/2026 15:08;AYN Thor : à prix cassé, le plus dur sera de ne pas craquer… et on vous comprend 🤯;https://www.01net.com/bons-plans/ayn-thor-a-prix-casse-le-plus-dur-sera-de-ne-pas-craquer-et-on-vous-comprend.html;NON_CLASSE
01net;16/09/2026 15:00;Apple corrige plus de 300 failles de sécurité sur l’iPhone, l’iPad et le Mac;https://www.01net.com/actualites/apple-corrige-plus-300-failles-securite-iphone-ipad-mac.html;SMARTPHONE
01net;16/09/2026 14:36;Xiaomi Mix Flip : il coûtait un bras, mais à -70% ce pliant premium devient très attractif;https://www.01net.com/bons-plans/xiaomi-mix-flip-il-coutait-un-bras-mais-a-70-ce-pliant-premium-devient-tres-attractif.html;SMARTPHONE
01net;16/09/2026 14:00;PlayStation dévoile deux nouveaux casques audio : le Pulse et le Pulse Edge;https://www.01net.com/actualites/playstation-devoile-deux-nouveaux-casques-audio-le-pulse-et-le-pulse-edge.html;LOGICIELS_OS
01net;16/09/2026 13:55;Poco F8 Ultra : Xiaomi s’allie à Bose et dégaine une offre tonitruante à -37%, une affaire;https://www.01net.com/bons-plans/poco-f8-ultra-xiaomi-sallie-a-bose-et-degaine-une-offre-tonitruante-a-37-une-affaire.html;NON_CLASSE
01net;16/09/2026 12:14;EDF s’associe au constructeur chinois BYD et provoque un torrent de critiques;https://www.01net.com/actualites/edf-sassocie-constructeur-chinois-byd-declenche-colere-plusieurs-personnalites-politiques.html;VOITURE
01net;16/09/2026 11:23;Fuite de données : près de la moitié des Français ont été piratés cette année;https://www.01net.com/actualites/fuite-donnees-pres-moitie-francais-pirates-cette-annee.html;NON_CLASSE
01net;16/09/2026 10:22;Votre Google Pixel Watch va recevoir une pluie de nouveautés;https://www.01net.com/actualites/google-pixel-watch-2-3-4-derniere-mise-a-jour-plein-nouveautes.html;SMARTPHONE
01net;16/09/2026 10:00;La pause de l’IA divise : Meta refuse de ralentir, Mistral dénonce la stratégie d’OpenAI et Anthropic;https://www.01net.com/actualites/pause-ia-divise-meta-refuse-ralentir-mistral-denonce-strategie-openai-anthropic.html;IA
01net;16/09/2026 09:00;Meta dévoile de nouveaux abonnements payants pour Instagram, WhatsApp et Facebook;https://www.01net.com/actualites/meta-devoile-de-nouveaux-abonnements-payants-pour-instagram-whatsapp-et-facebook.html;IA
01net;16/09/2026 08:25;Google Pixel : les utilisateurs français reçoivent enfin cette fonctionnalité de sécurité très attendue;https://www.01net.com/actualites/google-pixel-peuvent-detecter-arnaques-en-france.html;SMARTPHONE
01net;16/09/2026 08:00;326 ch, look tranchant et 601 km d’autonomie : Volkswagen s’énerve avec l’ID.3 GTI;https://www.01net.com/actualites/326-ch-look-tranchant-601-km-autonomie-volkswagen-enerve-id-3-gti.html;VOITURE
01net;16/09/2026 06:52;MediaTek dévoile la puce la plus fine jamais produite, juste avant Qualcomm;https://www.01net.com/actualites/mediatek-devoile-la-puce-la-plus-fine-jamais-produite-juste-avant-qualcomm.html;SMARTPHONE
01net;16/09/2026 06:50;Windows 11 : le Patch Tuesday casse aussi cette fonction essentielle d’Excel;https://www.01net.com/actualites/windows-11-le-patch-tuesday-casse-aussi-cette-fonction-essentielle-dexcel.html;PC
01net;16/09/2026 06:41;Pub, cloud facturé à l’heure : le Xbox Game Pass préparerait sa refonte la plus brutale;https://www.01net.com/actualites/pub-cloud-facture-a-lheure-le-xbox-game-pass-preparerait-sa-refonte-la-plus-brutale.html;LOGICIELS_OS
